,price,review_scores_value,room_type,instant_bookable,host_identity_verified,number_of_reviews,beds,bath,bedrooms,reviews_per_month,neighbourhood_cleansed,property_type,availability_30,availability_60,availability_90,availability_365,profit_per_bed
2699,22.81011097410604,,Private room,f,t,2,1.0,2 ,1.0,0.04,Providencia,Private room in rental unit,28,58,88,88,22.81011097410604
2700,10.35265104808878,5.0,Private room,f,f,7,1.0,1  ,1.0,0.14,Ñuñoa,Private room in rental unit,24,54,84,173,10.35265104808878
2701,184.9568434032059,4.66,Entire home/apt,f,t,32,5.0,1 ,3.0,0.63,Lo Barnechea,Entire bungalow,0,0,0,0,36.99136868064118
2702,13.563501849568434,,Private room,f,f,0,1.0,1  ,1.0,,Providencia,Private room in rental unit,23,53,83,83,13.563501849568434
2703,27.127003699136868,,Shared room,t,f,0,1.0,1  ,1.0,,Santiago,Shared room,30,60,90,90,27.127003699136868
2704,71.59926017262639,4.5,Entire home/apt,t,f,3,1.0,1 ,1.0,0.06,Providencia,Entire rental unit,0,0,0,0,71.59926017262639
2705,18.49568434032059,,Private room,t,f,0,1.0,1  ,1.0,,Providencia,Private room in guest suite,29,59,88,88,18.49568434032059
2706,30.826140567200987,,Private room,f,f,0,1.0,1  ,,,Providencia,Private room in rental unit,28,58,88,363,30.826140567200987
2707,19.37607891491985,4.9,Entire home/apt,t,t,223,1.0,1 ,1.0,4.29,Santiago,Entire residential home,0,0,25,298,19.37607891491985
2708,110.97410604192356,4.74,Entire home/apt,t,t,39,5.0,2 ,2.0,0.75,Las Condes,Entire rental unit,0,0,0,55,22.194821208384713
2709,46.12453760789149,4.97,Entire home/apt,f,t,189,1.0,1 ,1.0,3.64,Las Condes,Entire rental unit,9,39,69,343,46.12453760789149
2710,12.330456226880395,4.53,Private room,f,f,18,1.0,1  ,1.0,0.35,Las Condes,Private room in hostel,0,0,24,299,12.330456226880395
2711,30.826140567200987,,Private room,t,t,0,2.0,2 ,2.0,,Macul,Private room in rental unit,30,60,90,365,15.413070283600494
2712,57.33662145499383,4.72,Entire home/apt,t,t,222,1.0,1 ,1.0,4.28,Las Condes,Entire rental unit,23,53,60,60,57.33662145499383
2713,40.07028360049322,,Private room,f,f,0,1.0,1  ,1.0,,Santiago,Private room,29,59,89,364,40.07028360049322
2714,25.89395807644883,4.74,Entire home/apt,t,t,147,2.0,1 ,1.0,2.92,Recoleta,Entire condominium (condo),10,16,34,207,12.946979038224415
2715,73.98273736128236,4.31,Entire home/apt,t,t,45,1.0,1 ,1.0,0.88,Providencia,Entire rental unit,25,55,85,360,73.98273736128236
2716,100.17385943279902,4.69,Entire home/apt,f,t,98,4.0,2 ,2.0,1.91,Vitacura,Entire rental unit,0,0,23,113,25.043464858199755
2717,49.32182490752158,,Private room,t,f,0,1.0,1  ,1.0,,Las Condes,Private room in rental unit,28,58,88,88,49.32182490752158
2718,36.99136868064118,4.82,Entire home/apt,f,f,18,3.0,1 ,2.0,0.35,Ñuñoa,Entire place,0,0,23,298,12.330456226880393
2719,290.6461159062885,,Entire home/apt,f,t,0,5.0,2 ,3.0,,Lo Barnechea,Entire rental unit,0,0,0,0,58.1292231812577
2720,60.419235511713936,4.9,Entire home/apt,f,t,21,1.0,1 ,1.0,0.41,Las Condes,Entire rental unit,0,0,24,113,60.419235511713936
2721,376.9593094944513,4.88,Entire home/apt,f,t,8,5.0,2 ,2.0,0.16,Lo Barnechea,Entire rental unit,29,59,89,364,75.39186189889026
2722,17.2268803945746,4.92,Entire home/apt,t,t,105,1.0,1 ,1.0,2.04,Santiago,Entire rental unit,0,24,53,327,17.2268803945746
2723,67.20098643649816,4.8,Entire home/apt,f,t,26,1.0,1 ,1.0,0.5,Las Condes,Entire rental unit,0,0,24,113,67.20098643649816
2724,36.99136868064118,4.82,Entire home/apt,f,t,138,3.0,2 ,3.0,2.74,Santiago,Entire rental unit,0,0,23,298,12.330456226880393
2725,36.30579531442663,4.95,Entire home/apt,f,t,41,1.0,1 ,1.0,0.8,Las Condes,Entire rental unit,0,26,56,235,36.30579531442663
2726,19.728729963008632,4.88,Entire home/apt,t,t,113,1.0,1 ,1.0,2.19,Santiago,Entire rental unit,0,0,0,117,19.728729963008632
2727,63.6806411837238,4.9,Entire home/apt,f,t,152,2.0,1 ,,2.94,Providencia,Entire rental unit,15,29,36,44,31.8403205918619
2728,24.66091245376079,4.5,Private room,t,f,2,1.0,1  ,1.0,0.04,Las Condes,Private room in rental unit,0,0,24,113,24.66091245376079
2729,17.26263871763255,4.86,Entire home/apt,t,f,45,4.0,1 ,2.0,0.91,Recoleta,Entire rental unit,0,0,0,83,4.315659679408138
2730,59.1861898890259,4.3,Entire home/apt,t,t,11,1.0,1 ,1.0,0.22,Providencia,Entire rental unit,30,60,90,365,59.1861898890259
2731,49.32182490752158,,Private room,t,t,1,1.0,1  ,1.0,0.04,Providencia,Private room in rental unit,30,60,90,365,49.32182490752158
2732,35.75832305795314,4.69,Entire home/apt,t,t,160,1.0,1 ,1.0,3.08,Santiago,Entire rental unit,0,0,0,0,35.75832305795314
2733,22.19482120838471,,Private room,t,f,0,1.0,1  ,1.0,,Santiago,Private room in rental unit,28,58,88,178,22.19482120838471
2734,35.75832305795314,4.73,Entire home/apt,t,t,214,1.0,1 ,1.0,4.11,Santiago,Entire rental unit,0,0,0,0,35.75832305795314
2735,16.86066584463625,,Private room,f,t,1,1.0,1  ,,0.02,Providencia,Private room in rental unit,25,55,85,175,16.86066584463625
2736,115.20098643649816,4.96,Entire home/apt,t,t,52,3.0,2 ,2.0,1.01,Las Condes,Entire rental unit,26,56,86,361,38.40032881216605
2737,36.99136868064118,4.72,Entire home/apt,t,t,70,1.0,1 ,1.0,1.35,Providencia,Entire rental unit,6,15,25,213,36.99136868064118
2738,36.99136868064118,4.89,Entire home/apt,f,f,35,2.0,2 ,2.0,0.77,Santiago,Entire rental unit,0,0,0,239,18.49568434032059
2739,61.65228113440197,5.0,Entire home/apt,f,t,1,1.0,1 ,1.0,0.03,Las Condes,Entire rental unit,24,54,84,359,61.65228113440197
2740,141.80024660912454,4.9,Entire home/apt,t,t,112,2.0,1 ,2.0,2.3,Lo Barnechea,Entire cabin,18,42,54,140,70.90012330456227
2741,8.927250308261407,4.94,Private room,f,f,17,1.0,1  ,1.0,0.34,Ñuñoa,Private room,14,44,74,349,8.927250308261407
2742,348.0542540073983,4.49,Entire home/apt,f,t,39,3.0,1 ,1.0,0.76,Lo Barnechea,Entire rental unit,30,60,90,365,116.01808466913276
2743,24.66091245376079,4.94,Private room,t,t,18,1.0,1  ,1.0,0.35,Ñuñoa,Private room in residential home,0,0,29,304,24.66091245376079
2744,39.45745992601727,5.0,Entire home/apt,t,t,16,1.0,1 ,1.0,0.4,Santiago,Entire rental unit,17,41,58,333,39.45745992601727
2745,60104.67077681874,,Shared room,t,f,0,2.0,1  ,1.0,,Providencia,Shared room in rental unit,29,59,89,179,30052.33538840937
2746,92.03822441430331,4.88,Entire home/apt,t,t,69,4.0,2 ,3.0,1.36,Ñuñoa,Entire rental unit,0,0,2,150,23.00955610357583
2747,58.48212083847103,4.68,Entire home/apt,t,t,240,4.0,2 ,2.0,4.63,Providencia,Entire rental unit,8,24,40,315,14.620530209617758
2749,47.0715166461159,5.0,Entire home/apt,t,t,1,1.0,1.5 ,1.0,0.02,Las Condes,Entire rental unit,0,0,0,0,47.0715166461159
2750,29.59309494451295,5.0,Private room,f,t,2,1.0,2 ,1.0,0.04,Providencia,Private room in rental unit,30,60,90,90,29.59309494451295
2751,59.1861898890259,4.92,Entire home/apt,t,t,24,4.0,2 ,2.0,0.47,Santiago,Entire rental unit,25,55,85,299,14.796547472256474
2752,18.49568434032059,,Private room,t,f,0,1.0,1  ,1.0,,Santiago,Private room in rental unit,29,59,89,364,18.49568434032059
2753,497.2207151664612,4.52,Entire home/apt,f,t,26,5.0,2 ,2.0,0.51,Lo Barnechea,Entire rental unit,29,59,89,364,99.44414303329225
2754,15.413070283600494,4.38,Entire home/apt,f,t,21,1.0,1 ,1.0,0.43,Santiago,Entire rental unit,2,2,25,300,15.413070283600494
2755,24.64858199753391,4.59,Entire home/apt,t,t,44,1.0,1 ,1.0,0.99,Santiago,Entire condominium (condo),11,24,54,329,24.64858199753391
2756,49.32182490752158,4.81,Private room,f,t,59,2.0,1  ,1.0,1.15,Providencia,Private room in rental unit,30,60,90,365,24.66091245376079
2757,73.12700369913686,4.71,Entire home/apt,f,t,7,2.0,1 ,1.0,0.14,Las Condes,Entire guest suite,29,59,89,179,36.56350184956843
2758,35.75832305795314,4.96,Entire home/apt,f,t,74,2.0,1 ,1.0,1.85,Santiago,Entire rental unit,5,31,49,324,17.87916152897657
2759,35.229346485819974,,Entire home/apt,f,f,0,1.0,1 ,1.0,,Santiago,Entire rental unit,30,60,90,365,35.229346485819974
2760,61.65228113440197,4.5,Entire home/apt,t,t,3,1.0,1 ,1.0,0.08,Providencia,Entire rental unit,0,13,43,318,61.65228113440197
2761,170.16029593094945,4.87,Entire home/apt,f,t,86,4.0,3 ,3.0,1.8,Santiago,Entire rental unit,0,0,1,185,42.54007398273736
2762,43.33292231812577,4.93,Entire home/apt,t,t,74,2.0,2 ,2.0,1.44,Providencia,Entire rental unit,18,40,70,70,21.666461159062884
2763,123.30456226880396,4.71,Entire home/apt,t,t,45,6.0,3 ,4.0,0.88,Las Condes,Entire rental unit,0,0,0,148,20.550760378133994
2765,45.00616522811344,4.77,Entire home/apt,t,t,164,1.0,1 ,1.0,3.21,Recoleta,Entire rental unit,25,31,31,31,45.00616522811344
